Beat,Lane,Type,Length
8.577,3,N,0
8.841,1,N,0
9.077,3,N,0
9.34,1,N,0
9.603,3,N,0
9.814,1,N,0
10.051,3,N,0
10.288,1,N,0
10.577,3,N,0
10.814,1,N,0
11.103,3,N,0
11.34,1,N,0
11.577,3,N,0
11.787,1,N,0
12.55,0,N,0
12.813,2,N,0
13.05,0,N,0
13.313,2,N,0
13.577,0,N,0
13.787,2,N,0
14.024,0,N,0
14.313,2,N,0
14.497,0,N,0
14.813,2,N,0
14.997,0,N,0
15.26,2,N,0
15.523,0,N,0
15.734,2,N,0
16.681,1,N,0
17.681,2,N,0
18.681,1,N,0
19.628,3,N,0
20.759,1,N,0
21.233,0,N,0
21.707,2,N,0
22.207,1,N,0
22.68,3,N,0
23.154,0,N,0
23.706,2,N,0
24.627,3,N,0
24.89,0,N,0
25.18,2,N,0
25.443,1,N,0
25.706,3,N,0
25.995,1,N,0
26.232,2,N,0
26.495,1,N,0
26.706,3,N,0
26.969,1,N,0
27.206,2,N,0
27.442,0,N,0
27.758,2,N,0
27.942,0,N,0
28.232,2,N,0
28.469,1,N,0
28.732,3,N,0
28.969,1,N,0
29.258,2,N,0
29.495,0,N,0
29.731,2,N,0
29.942,0,N,0
30.205,3,N,0
30.468,1,N,0
30.679,2,N,0
30.916,0,N,0
31.179,3,N,0
31.389,1,N,0
31.679,2,N,0
32.599,1,N,0
33.757,1,N,0
34.152,3,N,0
34.441,0,N,0
34.625,2,N,0
34.915,1,N,0
35.204,3,N,0
35.441,0,N,0
35.836,2,N,0
36.336,1,N,0.289
36.809,3,N,0
37.309,0,N,0
37.809,2,N,0
38.256,1,N,0
38.756,3,N,0
38.914,0,N,0
39.23,2,N,0
39.44,1,N,0
39.703,3,N,0
39.861,0,N,0
40.23,2,N,0
40.677,4,L,7.92
41.282,2,N,0
41.756,3,N,0
42.256,2,N,0
42.756,3,N,0
43.229,2,N,0
43.755,2,N,0
44.808,3,N,0
45.334,2,N,0
45.623,3,N,0
45.808,2,N,0
46.308,3,N,0
46.834,2,N,0
47.307,2,N,0
47.834,2,N,0
48.754,5,R,7.841
49.254,1,N,0
49.833,0,N,0
50.359,1,N,0
50.833,0,N,0
51.333,0,N,0
51.833,0,N,0
52.912,1,N,0
53.412,0,N,0
53.675,1,N,0
53.911,0,N,0
54.411,1,N,0
54.938,1,N,0
55.411,0,N,0
55.911,0,N,0
56.964,0,N,0
57.437,3,N,0
57.674,0,N,0
57.911,2,N,0
58.2,1,N,0
58.411,2,N,0
58.621,1,N,0
58.884,3,N,0
59.2,0,N,0
59.41,2,N,0
59.647,1,N,0
59.858,3,N,0
60.963,1,N,0
61.489,0,N,0
61.726,2,N,0
61.857,1,N,0
62.094,3,N,0
62.568,3,N,0
62.884,2,N,0
63.068,1,N,0
63.436,0,N,0
63.673,1,N,0
63.831,2,N,0
64.094,3,N,0
64.673,2,N,0
65.12,1,N,0
65.646,1,N,0
66.12,2,N,0
66.567,2,N,0
66.988,2,N,0
67.488,1,N,0
67.988,1,N,0
68.488,1,N,0
68.988,3,N,0
69.461,3,N,0
70.014,0,N,0
70.514,0,N,0
71.014,2,N,0
71.435,2,N,0
72.013,1,N,0
73.013,0,N,0
73.513,3,N,0
73.645,0,N,0
74.013,2,N,0
74.224,1,N,0
74.434,3,N,0
74.723,1,N,0
74.934,2,N,0
75.487,0,N,0
75.986,1,N,0
76.486,1,N,0
76.907,3,N,0
77.434,0,N,0
77.723,2,N,0
77.933,1,N,0
78.144,3,N,0
78.512,0,N,0
78.775,2,N,0
79.065,1,N,0
79.565,3,N,0
80.012,1,N,0.263
80.907,4,L,7.683
82.064,3,N,0
82.643,3,N,0
83.117,2,N,0
83.564,2,N,0
84.09,3,N,0
84.564,3,N,0
85.143,2,N,0
85.59,2,N,0
86.116,3,N,0
