Beat,Lane,Type,Length
8.63,1,N,0
9.63,1,N,0
10.682,2,N,0
11.682,2,N,0
12.735,3,N,0
13.787,3,N,0
14.734,0,N,0
15.787,0,N,0
16.786,2,N,0
17.681,1,N,0
18.628,3,N,0
19.681,0,N,0
20.733,2,N,0
21.68,1,N,0.263
22.785,3,N,0
23.838,0,N,0
24.838,5,R,0
25.837,4,L,0
26.837,5,R,0
27.837,4,L,0
28.784,5,R,0
29.784,4,L,0.263
30.889,5,R,0
32.626,4,L,0
33.468,2,N,0
34.941,1,N,0
35.783,2,N,0
36.73,1,N,0.263
37.73,3,N,0
38.888,0,N,0
39.835,2,N,0
40.887,1,N,0.263
41.887,3,N,0
42.887,0,N,0.263
43.782,2,N,0
44.887,1,N,0
45.939,3,N,0
48.044,0,N,0
48.939,2,N,0
49.412,1,N,0
49.938,3,N,0
50.517,0,N,0
51.149,2,N,0
51.517,1,N,0
52.043,3,N,0
52.464,0,N,0
52.938,5,R,0
54.043,0,N,0
54.99,5,R,0.263
55.937,0,N,0
56.99,4,L,0.316
57.99,3,N,0
59.095,4,L,0
59.989,3,N,0
61.094,1,N,0
61.568,2,N,0
62.042,0,N,0
62.515,3,N,0
63.041,1,N,0
63.515,2,N,0
63.936,1,N,0
64.936,5,R,0
66.041,1,N,0
67.093,5,R,0
68.146,1,N,0
69.093,5,R,0
70.04,1,N,0
71.093,5,R,0
72.04,1,N,0
73.092,4,L,0.263
74.303,3,N,0
75.25,4,L,0
76.144,3,N,0
77.092,4,L,0
78.091,3,N,0
78.986,4,L,0
80.091,3,N,0
81.091,0,N,0
82.249,0,N,0
83.248,3,N,0
84.143,3,N,0
85.195,1,N,0
86.195,1,N,0
87.3,2,N,0
88.142,2,N,0
89.195,0,N,0
91.3,3,N,0
93.247,1,N,0
95.299,2,N,0
97.298,0,N,2.578
101.245,1,N,2.999
105.297,2,N,3.21
109.454,3,N,2.263
113.348,4,L,2.526
117.453,5,R,2.368
121.557,4,L,1.421
123.504,5,R,1.263
125.451,0,N,1.737
127.398,3,N,1.473
129.345,1,N,1.842
131.503,2,N,1.421
133.766,1,N,0.263
134.818,2,N,0
135.713,0,N,0
136.713,3,N,0
137.765,3,N,0
139.817,3,N,0
141.922,0,N,0
144.027,0,N,0.263
146.027,1,N,0
147.553,2,N,0
149.447,4,L,0
151.499,5,R,0
153.446,0,N,0
155.604,3,N,0
157.551,1,N,0
159.814,2,N,0
161.655,0,N,0
163.602,0,N,0
165.549,1,N,0
167.865,1,N,0
169.707,3,N,0
169.707,2,N,0
171.706,2,N,0
171.706,3,N,0
173.759,1,N,0
173.759,0,N,0
175.653,1,N,0
175.653,0,N,0
177.653,2,N,0
179.705,1,N,0
181.705,1,N,0
181.757,2,N,0
183.862,2,N,0
183.862,1,N,0
185.862,3,N,0
187.914,0,N,0
189.808,0,N,0
189.861,3,N,0
191.861,0,N,0
191.913,3,N,0
193.86,0,N,0
195.807,4,L,0
198.017,5,R,0
199.859,0,N,0
201.964,3,N,0
203.911,1,N,0
206.016,2,N,0
207.016,0,N,0
207.963,3,N,0
208.963,1,N,0
210.015,3,N,0
210.752,0,N,0
211.173,2,N,0
213.962,0,N,0
215.014,1,N,0
216.014,2,N,0
216.961,3,N,0
218.066,0,N,0
218.54,1,N,0
219.014,2,N,0
219.487,3,N,0
220.013,0,N,0
220.54,1,N,0
220.961,2,N,0
221.539,3,N,0
226.118,0,N,0
226.644,1,N,0
227.065,2,N,0
227.591,3,N,0
228.644,3,N,0
229.222,2,N,0
229.643,1,N,0
230.17,0,N,0
231.748,0,N,0
232.274,1,N,0
232.748,2,N,0
233.222,3,N,0
235.011,4,L,5.841
236.168,3,N,0
238.273,3,N,0
240.168,3,N,0
242.22,5,R,6.683
244.22,0,N,0
246.325,0,N,0
248.272,0,N,0
250.219,1,N,0
251.218,2,N,0
252.481,1,N,0
253.271,3,N,0
254.218,0,N,0
255.27,2,N,0
256.323,1,N,0
256.796,3,N,0
257.27,0,N,0
257.744,2,N,0
